N;Nome da Variável;Descrição da Variável;Tipo;Tam.(1);Categoria;"Coleta por ano (""s""=sim;""n""=não ) ";;;;;;;;;;;;;;;;;;;Notas Importantes
86;QT_MAT_MED_IFA_MATE_OTME;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Matemática e suas tecnologias em outra turma da mesma escola;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
87;QT_MAT_MED_IFA_MATE_OE;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Matemática e suas tecnologias em outra escola;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
88;QT_MAT_MED_IFA_CIENC;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Ciências da natureza e suas tecnologias;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
89;QT_MAT_MED_IFA_CIENC_MT;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Ciências da natureza e suas tecnologias na mesma turma;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
90;QT_MAT_MED_IFA_CIENC_OTME;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Ciências da natureza e suas tecnologias em outra turma da mesma escola;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
91;QT_MAT_MED_IFA_CIENC_OE;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Ciências da natureza e suas tecnologias em outra escola;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
92;QT_MAT_MED_IFA_HUMA;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Ciências humanas e sociais aplicadas;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
93;QT_MAT_MED_IFA_HUMA_MT;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Ciências humanas e sociais aplicadas na mesma turma;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
94;QT_MAT_MED_IFA_HUMA_OTME;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Ciências humanas e sociais aplicadas em outra turma da mesma escola;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
95;QT_MAT_MED_IFA_HUMA_OE;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Ciências humanas e sociais aplicadas em outra escola;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
